"Var2","C","C_1","C_2","L_s","L_1_s","L_2_s","K_s","K_1_s","I","I_1","Y","A","Case"
"26",-0.0371651347924682,-0.0335908624955971,-0.0412112582413502,-0.00718075754436305,-0.016134541579066,0,-0.0331959227549007,-0.0331959227549007,-0.0857763722059941,-0.0857763722059941,-0.0483920158046168,-0.0332806200546773,"sd_epsilon_A = 0.01"
"27",-0.0337759101003487,-0.0319429190129838,-0.0358508802213076,-0.00368250191433862,-0.00827426352898758,0,-0.0347264776213316,-0.0347264776213316,-0.0587051705287489,-0.0587051705287489,-0.0395333821522348,-0.0255211829459174,"sd_epsilon_A = 0.01"
"28",-0.0375354577255817,-0.034994375748374,-0.0404119960862746,-0.0051050653280726,-0.0114706405691542,0,-0.0369685877007192,-0.0369685877007192,-0.0720949789444596,-0.0720949789444596,-0.0455170614329927,-0.0300445018048331,"sd_epsilon_A = 0.01"
"29",-0.0442341138367464,-0.040318428936249,-0.0486667208622955,-0.00786665971540915,-0.0176757044760782,0,-0.0405997926984294,-0.0405997926984294,-0.097488670995889,-0.097488670995889,-0.0565333806000623,-0.0384810460929664,"sd_epsilon_A = 0.01"
"30",-0.0443471400434124,-0.0412451024350329,-0.0478586875876681,-0.0062320321749654,-0.0140028376719825,0,-0.0433559552873373,-0.0433559552873373,-0.0865358358468955,-0.0865358358468955,-0.0540907197847043,-0.0358299714295613,"sd_epsilon_A = 0.01"
"31",-0.0481112457364083,-0.0445852515830012,-0.0521027176892336,-0.00708376615226121,-0.0159166103047074,0,-0.0465185510749366,-0.0465185510749366,-0.0960658850806588,-0.0960658850806588,-0.059186483865506,-0.0394074515192888,"sd_epsilon_A = 0.01"
"32",-0.0330783186606968,-0.0345454868155914,-0.0314174649310666,0.002947559092979,0.00662291052476521,0,-0.0445148999826037,-0.0445148999826037,-0.0131243662027226,-0.0131243662027226,-0.0284699058529712,-0.014104326388777,"sd_epsilon_A = 0.01"
"33",-0.0229133798364018,-0.0267921783082525,-0.0185225287352752,0.00779255442577893,0.0175091962900829,0,-0.0400536353727922,-0.0400536353727922,0.0298395101809206,0.0298395101809206,-0.0107299743186108,-0.000214919702057765,"sd_epsilon_A = 0.01"
"34",-0.0189323044677559,-0.0228994037033803,-0.0144414957357649,0.00796995175933285,0.0179077927665982,0,-0.0355491270130325,-0.0355491270130325,0.035021503956537,0.035021503956537,-0.00647154398364472,0.00236675975290313,"sd_epsilon_A = 0.01"
"35",-0.0104066705240698,-0.0157388125335722,-0.00437061534262677,0.0107123396873394,0.0240697014195406,0,-0.0296894502257438,-0.0296894502257438,0.0621121527751118,0.0621121527751117,0.00634172434206406,0.0118208980002106,"sd_epsilon_A = 0.01"
"36",-0.0130110434701777,-0.0162411176012311,-0.00935455689115476,0.00648925914726534,0.0145808044425536,0,-0.0260529438324098,-0.0260529438324099,0.0309189896631552,0.0309189896631552,-0.00286529774863587,0.00330799138449123,"sd_epsilon_A = 0.01"
"37",-0.00793477038852977,-0.0117553289531062,-0.00360984763166754,0.00767554972586286,0.0172462968430995,0,-0.0218482048977973,-0.0218482048977973,0.0440260384111328,0.0440260384111328,0.00406570209207355,0.00819512511183424,"sd_epsilon_A = 0.01"
"38",-0.011077096641119,-0.0130286726520753,-0.00886788682039027,0.00392074050551046,0.00880956504925069,0,-0.0196094152216163,-0.0196094152216163,0.0154649563718859,0.0154649563718859,-0.00494714631925416,0.00015124406611553,"sd_epsilon_A = 0.01"
"39",-0.00344866999836169,-0.00703889103482813,0.000615507634392557,0.0072127987636804,0.0162065354265294,0,-0.0157100817885282,-0.0157100817885282,0.0453794753298521,0.0453794753298521,0.00782830639795662,0.0100032825295693,"sd_epsilon_A = 0.01"
"40",-0.000988414385077298,-0.0043671740625738,0.00283638619635108,0.0067879702604684,0.0152519824975123,0,-0.0120696495195286,-0.0120696495195286,0.0449637893614639,0.0449637893614638,0.0096243564577674,0.0107107044149878,"sd_epsilon_A = 0.01"
