"Var2","C","C_1","C_2","L_s","L_1_s","L_2_s","K_s","K_1_s","I","I_1","Y","A","Case","Omega"
"26",0.00593298026028511,0.00598357710763137,0.0057138942401948,-0.000388817497195146,-0.000499751302247092,0,0.00772855679031007,0.00772855679031006,0.00330082070087686,0.00330082070087685,0.00532507674303076,0.00277389573121837,"Non-Ricardian Agents omega High",0.8
"27",0.00569924108203082,0.00575038968293372,0.00547776595081727,-0.000393057513089562,-0.000505201040183482,0,0.00744714606805445,0.00744714606805444,0.0030383780860498,0.0030383780860498,0.00508470843775753,0.00263520094465745,"Non-Ricardian Agents omega High",0.8
"28",0.00547029693364669,0.0055216321039218,0.00524801395088956,-0.000394491227642053,-0.000507043808885608,0,0.00716830099522465,0.00716830099522464,0.00279972818755791,0.00279972818755791,0.00485352272327608,0.00250344089742458,"Non-Ricardian Agents omega High",0.8
"29",0.00524666309162663,0.00529787489083666,0.00502491430965596,-0.000393543168004435,-0.000505825257658064,0,0.00689315367833294,0.00689315367833294,0.00258251238036301,0.00258251238036301,0.00463137114167888,0.00237826885255335,"Non-Ricardian Agents omega High",0.8
"30",0.00502874635344382,0.00507957327096302,0.00480866412190611,-0.000390585498829366,-0.000502023733723284,0,0.00662264153981449,0.00662264153981449,0.00238461803635882,0.00238461803635882,0.00441807862310293,0.00225935540992569,"Non-Ricardian Agents omega High",0.8
"31",0.00481685952315745,0.00486708244881192,0.00459939259634224,-0.000385944051437143,-0.00049605803157433,0,0.00635753217910223,0.00635753217910222,0.00220415219461021,0.00220415219461021,0.00421344854493014,0.0021463876394294,"Non-Ricardian Agents omega High",0.8
"32",0.00461123418001213,0.0046606710714392,0.0043971708073622,-0.000379903677836031,-0.000488294274554686,0,0.00609844533346164,0.00609844533346164,0.00203941808509257,0.00203941808509257,0.00401726712955011,0.00203906825745794,"Non-Ricardian Agents omega High",0.8
"33",0.00441203192463614,0.00446053309322602,0.00420202026277573,-0.000372713004291914,-0.00047905202467235,0,0.0058458722651463,0.0058458722651463,0.00188889419487271,0.0018888941948727,0.00382930725850669,0.00193711484458504,"Non-Ricardian Agents omega High",0.8
"34",0.00421935427579977,0.00426679822173342,0.00401392042295814,-0.000364588650923349,-0.000468609706090645,0,0.00560019286521787,0.00560019286521787,0.00175121559967258,0.00175121559967257,0.00364933177205665,0.00184025910235579,"Non-Ricardian Agents omega High",0.8
"35",0.00403325137143782,0.0040795411060332,0.00383281529181149,-0.000355718976480749,-0.000457209418333096,0,0.00536169073214696,0.00536169073214695,0.00162515731403597,0.00162515731403597,0.00347709631535161,0.001748246147238,"Non-Ricardian Agents omega High",0.8
"36",0.0038537296105081,0.0038987894109376,0.00365861918644149,-0.000346267400954368,-0.000445061206867131,0,0.00513056645463516,0.00513056645463515,0.00150961944028373,0.00150961944028373,0.00331235178550704,0.0016608338398761,"Non-Ricardian Agents omega High",0.8
"37",0.00368075835701737,0.0037245309045554,0.00349122178048542,-0.000336375352857076,-0.000432346851278267,0,0.00490694930258451,0.0049069493025845,0.00140361392045776,0.00140361392045776,0.00315484642764736,0.0015777921478823,"Non-Ricardian Agents omega High",0.8
"38",0.0035142758139889,0.00355671967237276,0.00333049250537758,-0.000326164882865993,-0.000419223224611751,0,0.00469090750743993,0.00469090750743992,0.00130625271684157,0.00130625271684156,0.00300432762252973,0.00149890254048818,"Non-Ricardian Agents omega High",0.8
"39",0.00335419416308741,0.00339528155840129,0.00317628438436957,-0.000315740980912145,-0.000405825271552769,0,0.00448245729293506,0.00448245729293505,0.0012167372656921,0.0012167372656921,0.00286054340347472,0.00142395741346377,"Non-Ricardian Agents omega High",0.8
"40",0.00320040405489233,0.00324011892267808,0.00302843736570226,-0.000305193629717206,-0.000392268647859255,0,0.00428157079930585,0.00428157079930585,0.00113434906578171,0.00113434906578171,0.00272324373600155,0.00135275954279059,"Non-Ricardian Agents omega High",0.8
