"Var2","C","C_1","C_2","L_s","L_1_s","L_2_s","K_s","K_1_s","I","I_1","Y","A","Case","Omega"
"15",0.00824654991353193,0.00820475189892385,0.00829386581813454,8.3972731179005e-05,0.000188679469897047,0,0.00978523267917199,0.00978523267917199,0.00881501617629044,0.00881501617629044,0.00837783855319428,0.0048767497911553,"Non-Ricardian Agents omega Medium",0.5
"16",0.00805441198167081,0.00805259647791307,0.00805646715590365,3.64736907955478e-06,8.19532368828508e-06,0,0.00968286492300809,0.00968286492300809,0.00807910340977379,0.00807910340977379,0.00806011452875724,0.00463291230159754,"Non-Ricardian Agents omega Medium",0.5
"17",0.00784961002562846,0.007881945285399,0.00781300608448559,-6.49619400389331e-05,-0.0001459638640803,0,0.0095464834416171,0.0095464834416171,0.0074098402331584,0.0074098402331584,0.00774804414811048,0.00440126668651766,"Non-Ricardian Agents omega Medium",0.5
"18",0.00763502982345521,0.00769636333467076,0.007565599478669,-0.000123219788228513,-0.000276864213809091,0,0.00938174691170297,0.00938174691170297,0.00680087460971493,0.00680087460971493,0.00744237969399168,0.00418120335219178,"Non-Ricardian Agents omega Medium",0.5
"19",0.00741318502897594,0.00749897034465483,0.00731607491857892,-0.000172343767824405,-0.000387241550239817,0,0.00919363074793519,0.00919363074793519,0.00624647751557347,0.00624647751557347,0.00714373115419157,0.00397214318458219,"Non-Ricardian Agents omega Medium",0.5
"20",0.00718625882224718,0.00729249001458282,0.00706600370942653,-0.000213419788579432,-0.000479535818732777,0,0.00898650175696874,0.00898650175696874,0.00574148089849445,0.00574148089849445,0.0068525839241693,0.00377353602535308,"Non-Ricardian Agents omega Medium",0.5
"21",0.00695614114669705,0.00707929410302335,0.00681673037353708,-0.000247415823110006,-0.000555921970095975,0,0.00876418496333708,0.00876418496333708,0.00528122186310782,0.00528122186310782,0.00656931455363441,0.00358485922408543,"Non-Ricardian Agents omega Medium",0.5
"22",0.00672446198936045,0.00686144184737602,0.00656939898086316,-0.000275194240743396,-0.000618337673673914,0,0.00853002341285373,0.00853002341285373,0.00486149245528131,0.00486149245528131,0.00629420474321279,0.00340561626288115,"Non-Ricardian Agents omega Medium",0.5
"23",0.00649262111395706,0.00664071520517301,0.00632497664668065,-0.000297522873607688,-0.000668508181895312,0,0.008286931676979,0.00828693167697901,0.0044784944816084,0.0044784944816084,0.00602745377605274,0.0032353354497371,"Non-Ricardian Agents omega Medium",0.5
"24",0.00626181461463921,0.00641865034934547,0.00608427449147256,-0.000315084944203824,-0.000707968636669442,0,0.00803744370777652,0.00803744370777652,0.00412879885693768,0.00412879885693768,0.00576918955013673,0.00307356867725024,"Non-Ricardian Agents omega Medium",0.5
"25",0.00603305862058095,0.00619656580542365,0.00584796632774362,-0.000328487970576631,-0.000738084078535754,0,0.00778375562675254,0.00778375562675254,0.0038093090240435,0.0038093090240435,0.00551947835992504,0.00291989024338773,"Non-Ricardian Agents omega Medium",0.5
"26",0.00580721044775416,0.00597558757894516,0.00561660531132855,-0.000338271753409038,-0.00076006739297428,0,0.00752776397128009,0.00752776397128009,0.00351722803554516,0.00351722803554516,0.00527833356056972,0.00277389573121834,"Non-Ricardian Agents omega Medium",0.5
"27",0.00558498746385594,0.0057566715856882,0.00539063877034583,-0.000344915538766225,-0.000774995404472648,0,0.00727109986877576,0.00727109986877576,0.00325002892954131,0.00325002892954131,0.00504572323412433,0.00263520094465743,"Non-Ricardian Agents omega Medium",0.5
"28",0.00536698390506199,0.00554062366531788,0.00517042140302635,-0.000348844440693043,-0.000783823307547402,0,0.00701515956070563,0.00701515956070563,0.00300542806760705,0.00300542806760705,0.00482157696477508,0.00250344089742456,"Non-Ricardian Agents omega Medium",0.5
"29",0.0051536858587722,0.00532811743026435,0.00495622701595893,-0.000350435199310151,-0.000787397604688346,0,0.00676113165529686,0.00676113165529687,0.00278136113722624,0.00278136113722624,0.0046057918189903,0.00237826885255333,"Non-Ricardian Agents omega Medium",0.5
"30",0.00494548460450208,0.00511971017581182,0.00474825895661613,-0.000350021342363984,-0.000786467703915204,0,0.00651002144902587,0.00651002144902587,0.00257596155078035,0.00257596155078035,0.00439823761649621,0.00225935540992566,"Non-Ricardian Agents omega Medium",0.5
"31",0.00474268848530602,0.00491585705416986,0.00454665937814967,-0.000347897811275175,-0.000781696313108618,0,0.00626267262209804,0.00626267262209804,0.00238754100022882,0.00238754100022882,0.004198761569024,0.00214638763942938,"Non-Ricardian Agents omega Medium",0.5
"32",0.0045455334643665,0.00471692369445534,0.00435151746019165,-0.00034432510652039,-0.000773668754324833,0,0.00601978658182624,0.00601978658182624,0.00221457195090133,0.00221457195090133,0.00400719235572915,0.00203906825745791,"Non-Ricardian Agents omega Medium",0.5
"33",0.00435419250544236,0.00452319743179544,0.00416287669660137,-0.000339533001602642,-0.00076290130876601,0,0.005781939699696,0.005781939699696,0.00205567187965561,0.00205567187965561,0.00382334369696797,0.00193711484458502,"Non-Ricardian Agents omega Medium",0.5
"34",0.00416878390155644,0.00433489729195332,0.00398074134960915,-0.000333723869851424,-0.000749848691812576,0,0.00554959866265117,0.00554959866265117,0.00190958908228225,0.00190958908228225,0.00364701748164132,0.00184025910235576,"Non-Ricardian Agents omega Medium",0.5
"35",0.00398937866345107,0.0041521828627839,0.00380508215949592,-0.000327075663788851,-0.000734910747401454,0,0.0053231341364532,0.0053231341364532,0.00177518989268508,0.00177518989268508,0.003478006497508,0.00174824614723798,"Non-Ricardian Agents omega Medium",0.5
"36",0.00381600706780228,0.00397516217027494,0.00363584138968997,-0.000319744582750156,-0.000718438441938754,0,0.00510283291859981,0.00510283291859981,0.00165144717223008,0.00165144717223008,0.00331609680866105,0.00166083383987608,"Non-Ricardian Agents omega Medium",0.5
"37",0.00364866445482543,0.00380389866475945,0.00347293727885382,-0.000311867460809814,-0.000700739229763386,0,0.00488890873999899,0.00488890873999899,0.00153742994191953,0.00153742994191953,0.00316106981968848,0.00157779214788227,"Non-Ricardian Agents omega Medium",0.5
"38",0.00348731635560662,0.00363841741196155,0.00331626796407704,-0.000303563903796785,-0.000682081854835611,0,0.00468151185817135,0.00468151185817135,0.00143229404287171,0.00143229404287171,0.00301270406185087,0.00149890254048816,"Non-Ricardian Agents omega Medium",0.5
"39",0.00333190302114842,0.00347871057372947,0.00316571493259929,-0.000294938201246353,-0.000662700646727571,0,0.00448073757000802,0.00448073757000802,0.00133527372211594,0.00133527372211594,0.00287077673285253,0.00142395741346375,"Non-Ricardian Agents omega Medium",0.5
"40",0.00318234341762731,0.00332474225450636,0.00302114605348295,-0.000286081036498285,-0.000642799363066057,0,0.00428663375887226,0.00428663375887226,0.00124567405107873,0.00124567405107873,0.00273506501841604,0.00135275954279056,"Non-Ricardian Agents omega Medium",0.5
"1",0.00764981152513355,0.00328991671509463,0.00909951251303617,0.00257282093597514,0.0229535970420616,0,0.00150401514256116,0.00150401514256116,0.025066919042686,0.025066919042686,0.0116723334988608,0.01,"Non-Ricardian Agents omega Low",0.2
"2",0.00797532693923064,0.00417031899978209,0.00924052346555387,0.00224537620714367,0.0200322766382124,0,0.00280431905215449,0.00280431905215449,0.0231757469691167,0.0231757469691167,0.0114858997267661,0.0095,"Non-Ricardian Agents omega Low",0.2
"3",0.00822407105691771,0.0049174199184298,0.00932355983611432,0.00195129048240906,0.0174085708559119,0,0.00392207785966152,0.00392207785966151,0.0214336325106049,0.0214336325106049,0.0112748503760266,0.009025,"Non-Ricardian Agents omega Low",0.2
"4",0.00840505147926666,0.00554551317008181,0.00935587155461011,0.00168744437831119,0.015054649903716,0,0.00487646115539715,0.00487646115539714,0.0198284661219221,0.0198284661219221,0.0110433159931629,0.00857375000000001,"Non-Ricardian Agents omega Low",0.2
"5",0.00852638375933015,0.00606752594097338,0.00934397426637087,0.00145099849818285,0.0129451819113722,0,0.00568482198348295,0.00568482198348295,0.0183491416234939,0.0183491416234939,0.0107949728269172,0.00814506250000001,"Non-Ricardian Agents omega Low",0.2
"6",0.00859537374283313,0.00649514292556013,0.00929371781379869,0.00123936883613264,0.0110571134947821,0,0.00636286098660815,0.00636286098660814,0.0169854720355695,0.0169854720355695,0.0105330867138719,0.00773780937500001,"Non-Ricardian Agents omega Low",0.2
"7",0.00861859256728394,0.00683891938760689,0.00921034857955769,0.00105020431626115,0.00936946937059288,0,0.00692477607894772,0.00692477607894771,0.0157281125256009,0.0157281125256009,0.0102605529608565,0.00735091890625001,"Non-Ricardian Agents omega Low",0.2
"8",0.0086019449621053,0.0071083842159562,0.00909856623016879,0.000881366282984154,0.00786316937772245,0,0.00738339890610853,0.00738339890610853,0.0145684898649612,0.0145684898649612,0.00997993257886589,0.00698337296093751,"Non-Ricardian Agents omega Low",0.2
"9",0.00855073143671319,0.00731213384712156,0.00896257535210085,0.000730909774153151,0.00652086140423289,0,0.00775031924229394,0.00775031924229394,0.0134987378425319,0.0134987378425319,0.00969348519227292,0.00663420431289064,"Non-Ricardian Agents omega Low",0.2
"10",0.00846970489259522,0.00745791785146804,0.00880613242972108,0.000597066423124985,0.00532676884698276,0,0.00803599837553895,0.00803599837553895,0.0125116381297107,0.0125116381297107,0.00940319891884877,0.00630249409724611,"Non-Ricardian Agents omega Low",0.2
"11",0.00836312214894681,0.00755271691084467,0.00863258857542413,0.000478228849153322,0.00426655134944452,0,0.0082498724410707,0.0082498724410707,0.0116005661344012,0.0116005661344012,0.0091108174902841,0.0059873693923838,"Non-Ricardian Agents omega Low",0.2
"12",0.00823479082893695,0.00760281385256268,0.00844492838658443,0.000372936407562968,0.00332717767091689,0,0.00840044657985995,0.00840044657985995,0.0107594414208915,0.0107594414208915,0.0088178648593161,0.00568800092276461,"Non-Ricardian Agents omega Low",0.2
"13",0.0080881120148528,0.00761385834706261,0.00824580527138019,0.000279862182219441,0.00249680963895849,0,0.00849538072357954,0.00849538072357954,0.00998268230851971,0.00998268230851971,0.00852566751802254,0.00540360087662638,"Non-Ricardian Agents omega Low",0.2
"14",0.00792611904489731,0.00759092582401684,0.00803757355575611,0.000197801112909938,0.00176469622701077,0,0.00854156773786184,0.00854156773786184,0.00926516429495105,0.00926516429495105,0.00823537473216576,0.00513342083279507,"Non-Ricardian Agents omega Low",0.2
"15",0.00775151279199997,0.00753857111354694,0.00782231765658253,0.000125659159489098,0.00112107688158841,0,0.00854520459239047,0.00854520459239047,0.00860218198000558,0.00860218198000558,0.00794797687849796,0.00487674979115531,"Non-Ricardian Agents omega Low",0.2
"16",0.00756669373538488,0.007460877275308,0.00760187858121111,6.24434130877703e-05,0.000557093298756643,0,0.00851185716845902,0.00851185716845902,0.00798941419353282,0.00798941419353282,0.00766432205552592,0.00463291230159755,"Non-Ricardian Agents omega Low",0.2
"17",0.007373791108581,0.00736150003805054,0.00737787799091801,7.25307240334431e-06,6.47089184924757e-05,0,0.00844651926171334,0.00844651926171334,0.00742289205603096,0.00742289205603095,0.00738513112324485,0.00440126668651767,"Non-Ricardian Agents omega Low",0.2
"18",0.00717468938283814,0.00724370823558878,0.00715174004498116,-4.07287898519158e-05,-0.000363364531505738,0,0.00835366628943662,0.00835366628943663,0.006898969723768,0.006898969723768,0.00711101131366416,0.00418120335219179,"Non-Ricardian Agents omega Low",0.2
"19",0.0069710523223269,0.00711042059158481,0.0069247112231884,-8.22427388159216e-05,-0.000733734053432578,0,0.00823730416754577,0.00823730416754577,0.00641429759125553,0.00641429759125553,0.00684246854145089,0.0039721431845822,"Non-Ricardian Agents omega Low",0.2
"20",0.00676434482686844,0.00696423917493068,0.00669787830726463,-0.000117959830228224,-0.00105238651666324,0,0.00810101378208641,0.00810101378208641,0.00596579774322308,0.00596579774322307,0.00657991853260552,0.00377353602535309,"Non-Ricardian Agents omega Low",0.2
"21",0.0065558527590923,0.00680747981952549,0.00647218468589635,-0.000148487861248943,-0.00132474442485924,0,0.00794799144311496,0.00794799144311496,0.00555064146589542,0.00555064146589542,0.00632369687866779,0.00358485922408544,"Non-Ricardian Agents omega Low",0.2
"22",0.00634670093570369,0.00664219977667499,0.00624844513359264,-0.000174377071597245,-0.00155571677906251,0,0.00778108567513961,0.00778108567513962,0.00516622864352576,0.00516622864352576,0.00607406811443941,0.00340561626288117,"Non-Ricardian Agents omega Low",0.2
"23",0.0061378694468157,0.00647022284498024,0.00602735920043487,-0.000196125342755741,-0.00174974546275071,0,0.00760283066748608,0.00760283066748608,0.00481016888091389,0.00481016888091389,0.00583123390852951,0.00323533544973711,"Non-Ricardian Agents omega Low",0.2
"24",0.00593020845293875,0.00629316220123883,0.00580952333772404,-0.00021418293886858,-0.0019108475380815,0,0.00741547667980631,0.00741547667980631,0.00448026420615645,0.00448026420615644,0.00559534044810399,0.00307356867725025,"Non-Ricardian Agents omega Low",0.2
"25",0.00572445159610026,0.00611244113638366,0.00559544187353779,-0.00022895682919621,-0.0020426538089664,0,0.00722101767223258,0.00722101767223258,0.0041744932202441,0.0041744932202441,0.00536648509198798,0.00291989024338774,"Non-Ricardian Agents omega Low",0.2
"26",0.00552122814958759,0.0059293118826722,0.00538553694216728,-0.000240814628548558,-0.002148443975913,0,0.00702121640618478,0.00702121640618478,0.00389099657143577,0.00389099657143577,0.00514472235966959,0.00277389573121835,"Non-Ricardian Agents omega Low",0.2
"27",0.00532107401986543,0.00574487270206761,0.00518015746223525,-0.000250088188972917,-0.00223117867951244,0,0.00681762724037523,0.00681762724037523,0.00362806364269221,0.00362806364269221,0.00493006931773022,0.00263520094465744,"Non-Ricardian Agents omega Low",0.2
"28",0.00512444170422826,0.00556008339089001,0.00497958724992563,-0.00025707687309783,-0.00229352870379925,0,0.00661161682694813,0.00661161682694813,0.0033841203499235,0.0033841203499235,0.00472251041973037,0.00250344089742457,"Non-Ricardian Agents omega Low",0.2
"29",0.00493170929862539,0.00537577934224037,0.00478405234611261,-0.000262050536906466,-0.00233790158726661,0,0.00640438289477949,0.00640438289477949,0.00315771795747063,0.00315771795747063,0.00452200185056544,0.00237826885255334,"Non-Ricardian Agents omega Low",0.2
"30",0.00474318864176611,0.00519268429529977,0.00459372762920103,-0.000265252247311264,-0.00236646586789313,0,0.00619697129060299,0.00619697129060299,0.0029475228251711,0.00294752282517109,0.00432847542173152,0.00225935540992567,"Non-Ricardian Agents omega Low",0.2
"31",0.00455913267400816,0.00501142188928181,0.00440874277912121,-0.00026690075770653,-0.00238117316895355,0,0.0059902914336836,0.0059902914336836,0.00275230700861309,0.00275230700861309,0.00414184205976774,0.00214638763942939,"Non-Ricardian Agents omega Low",0.2
"32",0.00437974208258914,0.00483252612947383,0.00422918765210979,-0.000267192762669488,-0.00238377831448731,0,0.00578513032611186,0.00578513032611187,0.00257093964082124,0.00257093964082124,0.00396199492633609,0.00203906825745792,"Non-Ricardian Agents omega Low",0.2
"33",0.00420517129842338,0.00465645086335763,0.00405511712060261,-0.00026630495114685,-0.002375857646942,0,0.00558216524832662,0.00558216524832663,0.0024023790296911,0.0024023790296911,0.0037888122049278,0.00193711484458502,"Non-Ricardian Agents omega Low",0.2
"34",0.00403553390390121,0.00448357835617584,0.00388655542772531,-0.000264395875788368,-0.00235882570455962,0,0.00538197525808987,0.00538197525808987,0.00224566541104731,0.00224566541104731,0.00362215958602045,0.00184025910235577,"Non-Ricardian Agents omega Low",0.2
"35",0.00387090750584768,0.00431422704743524,0.00372350010144971,-0.000261607654557615,-0.00233395040241282,0,0.00518505160074166,0.00518505160074166,0.00209991430228626,0.00209991430228626,0.0034618924796236,0.00174824614723798,"Non-Ricardian Agents omega Low",0.2
"36",0.00371133812297865,0.00414865856264795,0.00356592546945343,-0.000258067519350949,-0.00230236684851407,0,0.00499180712907024,0.00499180712907024,0.00196431040621791,0.0019643104062179,0.00330785798151948,0.00166083383987609,"Non-Ricardian Agents omega Low",0.2
"37",0.00355684413279466,0.00398708404804706,0.00341378581204335,-0.000253889225076903,-0.0022650899150133,0,0.00480258482246482,0.00480258482246482,0.00183810201897986,0.00183810201897986,0.00315989661710715,0.00157779214788228,"Non-Ricardian Agents omega Low",0.2
"38",0.00340741981884027,0.0038296698900206,0.00326701818714893,-0.000249174331479868,-0.00222302567407488,0,0.00461766548710458,0.00461766548710458,0.00172059589979402,0.00172059589979402,0.00301784388457211,0.00149890254048817,"Non-Ricardian Agents omega Low",0.2
"39",0.00326303855559508,0.00367654287553699,0.0031255449583318,-0.000244013368924277,-0.00217698179850041,0,0.00443727471171244,0.00443727471171244,0.00161115256390231,0.00161115256390231,0.00288153161711179,0.00142395741346376,"Non-Ricardian Agents omega Low",0.2
"40",0.00312365566492285,0.00352779484484216,0.00298927605396752,-0.000238486898379956,-0.00212767701846009,0,0.0042615891468066,0.0042615891468066,0.00150918196328169,0.00150918196328169,0.00275078918213194,0.00135275954279057,"Non-Ricardian Agents omega Low",0.2
"1",0.00598321823562029,0.00541099854687205,0.00846094838681381,0.0043972903232565,0.00565188444774774,0,0.00214508088753541,0.00214508088753541,0.0357513481255901,0.0357513481255901,0.0128582387101161,0.01,"Non-Ricardian Agents omega High",0.8
"2",0.00682827973299965,0.00634071999345917,0.00893942950802776,0.00374671086445886,0.0048156876868119,0,0.00394790877824346,0.00394790877824346,0.0321922123993362,0.0321922123993362,0.0126861403725351,0.00950000000000001,"Non-Ricardian Agents omega High",0.8
"3",0.0075057357414889,0.00709246265004407,0.00929522187676993,0.00317584627304087,0.00408194930048333,0,0.00545134104235056,0.00545134104235055,0.0290051131800283,0.0290051131800283,0.0124710681498612,0.00902500000000001,"Non-Ricardian Agents omega High",0.8
