"Var2","C","C_1","C_2","L_s","L_1_s","L_2_s","K_s","K_1_s","I","I_1","Y","A","Case","ShockType"
"32",0.00227276673218325,0.00235846184722767,0.00217575873009583,-0.000172162553260195,-0.000386834377162416,0,0.00300989329091312,0.00300989329091312,0.00110728597545067,0.00110728597545067,0.00200359617786458,0.00101953412872896,"sd_epsilon_A = 0.5","A"
"33",0.00217709625272118,0.00226159871589772,0.00208143834830069,-0.000169766500801321,-0.000381450654383005,0,0.002890969849848,0.002890969849848,0.00102783593982781,0.00102783593982781,0.00191167184848399,0.000968557422292508,"sd_epsilon_A = 0.5","A"
"34",0.00208439195077822,0.00216744864597666,0.00199037067480458,-0.000166861934925712,-0.000374924345906288,0,0.00277479933132558,0.00277479933132558,0.000954794541141126,0.000954794541141126,0.00182350874082066,0.000920129551177882,"sd_epsilon_A = 0.5","A"
"35",0.00199468933172553,0.00207609143139195,0.00190254107974796,-0.000163537831894426,-0.000367455373700727,0,0.0026615670682266,0.0026615670682266,0.000887594946342541,0.00088759494634254,0.001739003248754,0.000874123073618988,"sd_epsilon_A = 0.5","A"
"36",0.00190800353390114,0.00198758108513747,0.00181792069484499,-0.000159872291375078,-0.000359219220969377,0,0.0025514164592999,0.00255141645929991,0.000825723586115039,0.000825723586115038,0.00165804840433052,0.000830416919938039,"sd_epsilon_A = 0.5","A"
"37",0.00182433222741272,0.00190194933237973,0.00173646863942691,-0.000155933730404907,-0.000350369614881693,0,0.0024444543699995,0.0024444543699995,0.000768714970959763,0.000768714970959763,0.00158053490984424,0.000788896073941137,"sd_epsilon_A = 0.5","A"
"38",0.00174365817780331,0.00181920870598077,0.00165813398203852,-0.000151781951898392,-0.000341040927417805,0,0.00234075592908568,0.00234075592908568,0.000716147021435856,0.000716147021435856,0.00150635203092544,0.00074945127024408,"sd_epsilon_A = 0.5","A"
"39",0.00166595151057421,0.00173935528686473,0.00158285746629964,-0.000147469100623176,-0.000331350323363785,0,0.00224036878500401,0.00224036878500401,0.000667636861057972,0.000667636861057972,0.00143538836642627,0.000711978706731876,"sd_epsilon_A = 0.5","A"
"40",0.00159117170881366,0.00166237112725318,0.00151057302674147,-0.000143040518249142,-0.000321399681533028,0,0.00214331687943613,0.00214331687943613,0.000622837025539365,0.000622837025539366,0.00136753250920802,0.000676379771395282,"sd_epsilon_A = 0.5","A"
"1",0.00394831342943813,0.00283033019661036,0.00521388521527025,0.00224604223427049,0.00504666277745057,0,0.00114919440898273,0.00114919440898273,0.0191532401497121,0.0191532401497121,0.00745992745185729,0.006,"sd_epsilon_A = 0.6","A"
"2",0.00433877730600364,0.00337786192839776,0.00542654620517957,0.00193049095747927,0.00433764633132082,0,0.00212469462575843,0.00212469462575843,0.0174075313552444,0.0174075313552444,0.00735703716509272,0.0057,"sd_epsilon_A = 0.6","A"
"3",0.00465025731943263,0.00382832376691581,0.00558069695694222,0.00165127474041635,0.00371027162399067,0,0.00294694181499783,0.00294694181499783,0.0158288144464151,0.0158288144464151,0.00723197169988033,0.005415,"sd_epsilon_A = 0.6","A"
"4",0.00489271677105493,0.0041936182880136,0.00568410548751831,0.00140449755642622,0.00315578462029572,0,0.0036341659846418,0.0036341659846418,0.0144006779757308,0.0144006779757308,0.00708860304652858,0.00514425,"sd_epsilon_A = 0.6","A"
"5",0.00507501250433229,0.00448433996431843,0.0057436616212037,0.00118666848687981,0.00266634152779384,0,0.00420261681428088,0.00420261681428088,0.0131083464786265,0.0131083464786265,0.00693033011070769,0.0048870375,"sd_epsilon_A = 0.6","A"
"6",0.00520501175310549,0.00470991268370118,0.0057654704389169,0.000994660194448489,0.00223491548980091,0,0.00466677077743508,0.00466677077743508,0.0119385162001843,0.0119385162001843,0.00676013063601055,0.004642685625,"sd_epsilon_A = 0.6","A"
"7",0.00528969692448985,0.00487871309796834,0.00575493604436768,0.000825671624187688,0.00185521277794948,0,0.00503951697342725,0.00503951697342725,0.0108792073773047,0.0108792073773047,0.00658060767120507,0.00441055134375,"sd_epsilon_A = 0.6","A"
"8",0.00533525954910155,0.00499818124800065,0.00571683663806245,0.000677194503430475,0.00152159752034498,0,0.00533232383931171,0.00533232383931171,0.00991963140483485,0.00991963140483485,0.00639403114413311,0.0041900237765625,"sd_epsilon_A = 0.6","A"
"9",0.00534718450600144,0.00507491976463019,0.00565539178929386,0.000546983254951202,0.00122902409904486,0,0.00555538869193708,0.00555538869193708,0.009050071383068,0.009050071383068,0.00620237504686377,0.00398052258773438,"sd_epsilon_A = 0.6","A"
"10",0.00533032551715087,0.00511478281251269,0.00557432270567942,0.000433027976920161,0.000972976438352002,0,0.00571777185217283,0.00571777185217283,0.00826177469586634,0.00826177469586634,0.0060073506851867,0.00378149645834766,"sd_epsilon_A = 0.6","A"
"11",0.00528897280499944,0.00512295582560301,0.00547690621842081,0.000333530178276836,0.000749413484295576,0,0.00582751692535108,0.00582751692535108,0.00754685640514375,0.00754685640514375,0.00581043639924472,0.00359242163543028,"sd_epsilon_A = 0.6","A"
"12",0.00522691371591085,0.00510402697622202,0.00536602312832101,0.000246880989702119,0.000554720246568853,0,0.00589175865203798,0.00589175865203798,0.00689821237013275,0.00689821237013275,0.00561290412052311,0.00341280055365876,"sd_epsilon_A = 0.6","A"
"13",0.00514748703044153,0.00506205122389603,0.00524420149188324,0.000171641598728245,0.000385663837912178,0,0.00591681959952439,0.0059168195995244,0.00630944111014493,0.00630944111014493,0.00541584309305862,0.00324216052597582,"sd_epsilon_A = 0.6","A"
"14",0.00505363160808247,0.00500060770405956,0.00511365536777369,0.000106525683012487,0.000239354003197257,0,0.00590829683527313,0.00590829683527313,0.00577477352867006,0.00577477352867006,0.00522018105317581,0.00308005249967703,"sd_epsilon_A = 0.6","A"
"15",0.00494792994811916,0.00492285113935431,0.00497631949088072,5.03836387074027e-05,0.000113207681938228,0,0.0058711396075032,0.0058711396075032,0.00528900970577426,0.00528900970577426,0.00502670313191657,0.00292604987469318,"sd_epsilon_A = 0.6","A"
"16",0.00483264718900249,0.00483155788674784,0.00483388029354219,2.18842144773275e-06,4.91719421297115e-06,0,0.00580971895380486,0.00580971895380486,0.00484746204586427,0.00484746204586427,0.00483606871725434,0.00277974738095852,"sd_epsilon_A = 0.6","A"
"17",0.00470976601537708,0.0047291671712394,0.00468780365069136,-3.89771640233602e-05,-8.75783184481803e-05,0,0.00572789006497026,0.00572789006497027,0.00444590413989504,0.00444590413989504,0.00464882648886629,0.0026407600119106,"sd_epsilon_A = 0.6","A"
"18",0.00458101789407313,0.00461781800080246,0.0045393596872014,-7.3931872937108e-05,-0.000166118528285455,0,0.00562904814702178,0.00562904814702178,0.00408052476582896,0.00408052476582896,0.00446542781639501,0.00250872201131507,"sd_epsilon_A = 0.6","A"
"19",0.00444791101738556,0.0044993822067929,0.00438964495114735,-0.000103406260694643,-0.000232344930143891,0,0.00551617844876112,0.00551617844876112,0.00374788650934408,0.00374788650934408,0.00428623869251494,0.00238328591074931,"sd_epsilon_A = 0.6","A"
"20",0.00431175529334831,0.00437549400874969,0.00423960222565592,-0.000128051873147659,-0.000287721491239667,0,0.00539190105418125,0.00539190105418125,0.00344488853909667,0.00344488853909667,0.00411155035450158,0.00226412161521185,"sd_epsilon_A = 0.6","A"
"21",0.00417368468801823,0.00424757646181401,0.00409003822412225,-0.000148449493866004,-0.000333553182057585,0,0.00525851097800225,0.00525851097800225,0.00316873311786469,0.00316873311786469,0.00394158873218065,0.00215091553445126,"sd_epsilon_A = 0.6","A"
"22",0.00403467719361627,0.00411686510842562,0.0039416393885179,-0.000165116544446039,-0.00037100260420435,0,0.00511801404771224,0.00511801404771224,0.00291689547316879,0.00291689547316879,0.00377652284592768,0.00204336975772869,"sd_epsilon_A = 0.6","A"
"23",0.00389557266837424,0.00398442912310381,0.00379498598800839,-0.000178513724164613,-0.000401104909137188,0,0.0049721590061874,0.00497215900618741,0.00268709668896504,0.00268709668896504,0.00361647226563164,0.00194120126984226,"sd_epsilon_A = 0.6","A"
