"Var2","C","K_s","A","Y","L_s","I","Case"
"29",0.00335220821611146,0.00440186879765475,0.00142696131153198,0.00290975481625136,-0.000190938039140594,0.0014364306082225,"sd_epsilon_A = 0.6"
"30",0.003212813395707,0.00421704484369258,0.00135561324595538,0.00277600303485087,-0.000185021984965345,0.00132146956495181,"sd_epsilon_A = 0.6"
"31",0.00307690259743651,0.00403707670195485,0.00128783258365761,0.00264748665005743,-0.00017894096744459,0.00121757581473042,"sd_epsilon_A = 0.6"
"32",0.00294472930355919,0.00386226481190802,0.00122344095447473,0.00252412249901505,-0.000172762001681194,0.00112354520117424,"sd_epsilon_A = 0.6"
"33",0.00281648238425482,0.00369282767116605,0.001162268906751,0.00240580980799713,-0.000166541204419949,0.0010383124662085,"sd_epsilon_A = 0.6"
"34",0.00269229553675223,0.00352891410863169,0.00110415546141345,0.00229243368983781,-0.000160325317595912,0.000960934962260133,"sd_epsilon_A = 0.6"
"35",0.00257225552872873,0.00337061395747398,0.00104894768834277,0.00218386815864935,-0.000154153027185079,0.000890578256003017,"sd_epsilon_A = 0.6"
"36",0.00245640938667061,0.00321796732468543,0.000996500303925634,0.00207997872090912,-0.000148056104754293,0.000826503410998129,"sd_epsilon_A = 0.6"
"37",0.00234477065447954,0.00307097263074138,0.000946675288729352,0.0019806245953212,-0.000142060395396855,0.000768055758951259,"sd_epsilon_A = 0.6"
"38",0.00223732483370461,0.00292959357227592,0.000899341524292885,0.00188566060786128,-0.000136186672542936,0.000714654989650352,"sd_epsilon_A = 0.6"
"39",0.00213403410426639,0.00279376514242303,0.00085437444807824,0.00179493880304369,-0.000130451377376586,0.000665786408061062,"sd_epsilon_A = 0.6"
"40",0.00203484141330731,0.00266339882729852,0.000811655725674328,0.00170830980765008,-0.000124867258211877,0.000620993223681151,"sd_epsilon_A = 0.6"
"1",0.00130495041148281,0.00179268249032453,0.007,0.00790397382994245,0.00139072896938848,0.0298780415054088,"sd_epsilon_A = 0.7"
"2",0.00240024446443054,0.00328453120344599,0.00665,0.00800236011781391,0.00111526345594211,0.0266568277090155,"sd_epsilon_A = 0.7"
"3",0.00331101199025276,0.00451462466578181,0.00631749999999999,0.00803977975422005,0.000881067435656551,0.0237860889090428,"sd_epsilon_A = 0.7"
"4",0.00405991284666803,0.00551751378898287,0.00600162499999999,0.00802525680400317,0.000682327955603146,0.0212294433857994,"sd_epsilon_A = 0.7"
"5",0.00466730036730241,0.00632369168671214,0.00570154374999999,0.00796680426346059,0.000514047211504474,0.0189538120844707,"sd_epsilon_A = 0.7"
"6",0.00515139183624713,0.00696002375206754,0.00541646656249999,0.00787151070372056,0.000371926232354922,0.0169292261093019,"sd_epsilon_A = 0.7"
"7",0.00552844009166694,0.00745013944919106,0.00514564323437499,0.00774562419949633,0.000252265618545436,0.0151286187041263,"sd_epsilon_A = 0.7"
"8",0.00581290200796042,0.00781478772978893,0.00488836107265624,0.00759463236987148,0.000151880754080217,0.0135276107924888,"sd_epsilon_A = 0.7"
"9",0.00601760088172961,0.00807215826979384,0.00464394301902343,0.0074233377798093,6.80293161693106e-05,0.0121042967298707,"sd_epsilon_A = 0.7"
"10",0.00615388072869386,0.008238170875667,0.00441174586807225,0.00723592827057392,-1.65075658410544e-06,0.0108390350343464,"sd_epsilon_A = 0.7"
"11",0.00623175124765491,0.00832673546723328,0.00419115857466864,0.00703604202600186,-5.91943923196445e-05,0.00971424740177169,"sd_epsilon_A = 0.7"
"12",0.00626002277267042,0.0083499850305865,0.00398160064593521,0.0068268273570265,-0.000106354926618662,0.0087142281897868,"sd_epsilon_A = 0.7"
"13",0.00624643095499867,0.00831848387081783,0.00378252061363844,0.00661099731298175,-0.000144643171120186,0.0078249657011086,"sd_epsilon_A = 0.7"
"14",0.00619775122357244,0.00824141339582403,0.00359339458295652,0.00639087931610978,-0.000175360956159362,0.00703397595425448,"sd_epsilon_A = 0.7"
"15",0.00611990329183966,0.00812673754129403,0.00341372485380869,0.00616846007420553,-0.000199629950794897,0.00633014915365721,"sd_epsilon_A = 0.7"
"16",0.00601804612975948,0.00798134981230742,0.00324303861111826,0.00594542606244464,-0.000218416443086383,0.00570360872485058,"sd_epsilon_A = 0.7"
"17",0.00589666391843495,0.00781120377567493,0.00308088668056235,0.00572319988468689,-0.000232552661641807,0.00514558253509903,"sd_epsilon_A = 0.7"
"18",0.00575964356385743,0.00762142869428358,0.00292684234653423,0.00550297283126423,-0.000242755133299699,0.00464828575248573,"sd_epsilon_A = 0.7"
"19",0.00561034437543656,0.0074164318539541,0.00278050022920752,0.00528573394784871,-0.00024964049884776,0.00420481468879229,"sd_epsilon_A = 0.7"
"20",0.00545166052216762,0.00719998899725978,0.00264147521774714,0.00507229592109146,-0.000253739146826022,0.00380905090904855,"sd_epsilon_A = 0.7"
"21",0.0052860768705164,0.00697532414914538,0.00250940145685978,0.00486331807337055,-0.000255506972971821,0.00345557486201978,"sd_epsilon_A = 0.7"
"22",0.00511571878809535,0.00674517999712888,0.00238393138401679,0.00465932674274593,-0.000255335528272939,0.00313958828220365,"sd_epsilon_A = 0.7"
"23",0.00494239646959699,0.0065118798749911,0.00226473481481595,0.00446073330628103,-0.000253560780676489,0.00285684462816591,"sd_epsilon_A = 0.7"
"24",0.00476764430901923,0.00627738229342279,0.00215149807407515,0.00426785008614048,-0.000250470683223306,0.00260358684885256,"sd_epsilon_A = 0.7"
"25",0.00459275580706217,0.0060433288641007,0.00204392317037139,0.00408090435896854,-0.000246311713874169,0.00237649180472121,"sd_epsilon_A = 0.7"
"26",0.00441881446626564,0.00581108637491268,0.00194172701185282,0.00390005067046599,-0.00024129452883556,0.00217262071096695,"sd_epsilon_A = 0.7"
"27",0.00424672109013988,0.00558178369322104,0.00184464066126018,0.00372538163914719,-0.000235598851164631,0.00198937501338533,"sd_epsilon_A = 0.7"
"28",0.00407721786704436,0.00535634410073224,0.00175240862819717,0.0035569374161962,-0.000229377699317426,0.00182445715174092,"sd_epsilon_A = 0.7"
"29",0.00391090958546337,0.00513551359726388,0.00166478819678731,0.00339471395229325,-0.000222761045664026,0.00167583570959292,"sd_epsilon_A = 0.7"
"30",0.0037482822949915,0.00491988565097467,0.00158154878694795,0.00323867020732601,-0.000215858982459569,0.00154171449244378,"sd_epsilon_A = 0.7"
"31",0.00358971969700926,0.00470992281894733,0.00150247134760055,0.003088734425067,-0.000208764462018688,0.0014205051171855,"sd_epsilon_A = 0.7"
"32",0.00343551752081906,0.00450597561389269,0.00142734778022052,0.00294480958218423,-0.000201555668628059,0.00131080273470328,"sd_epsilon_A = 0.7"
"33",0.00328589611496395,0.00430829894969372,0.0013559803912095,0.00280677810932998,-0.000194298071823274,0.00121136454390992,"sd_epsilon_A = 0.7"
"34",0.00314101145954427,0.00411706646007031,0.00128818137164902,0.00267450597147744,-0.000187046203861897,0.00112109078930349,"sd_epsilon_A = 0.7"
"35",0.00300096478351685,0.00393238295038631,0.00122377230306657,0.00254784618509091,-0.000179845198382592,0.00103900796533685,"sd_epsilon_A = 0.7"
"36",0.00286581095111571,0.003754295212133,0.00116258368791324,0.00242664184106065,-0.000172732122213341,0.000964253979497817,"sd_epsilon_A = 0.7"
"37",0.00273556576355946,0.00358280140253161,0.00110445450351758,0.0023107286945414,-0.000165737127962997,0.000896065052109802,"sd_epsilon_A = 0.7"
"38",0.00261021230598872,0.00341785916765524,0.0010492317783417,0.00219993737583816,-0.000158884451300092,0.000833764154592079,"sd_epsilon_A = 0.7"
"39",0.00248970645497746,0.0032593926661602,0.000996770189424614,0.00209409527021764,-0.000152193273606017,0.000776750809404573,"sd_epsilon_A = 0.7"
"40",0.00237398164885853,0.00310729863184827,0.000946931679953383,0.0019930281089251,-0.000145678467913856,0.000724492094294676,"sd_epsilon_A = 0.7"
"1",0.00149137189883749,0.00204877998894232,0.008,0.00903311294850566,0.00158940453644397,0.0341463331490387,"sd_epsilon_A = 0.8"
"2",0.00274313653077776,0.00375374994679542,0.0076,0.00914555442035875,0.00127458680679099,0.0304649459531606,"sd_epsilon_A = 0.8"
"3",0.00378401370314602,0.00515957104660778,0.00721999999999999,0.00918831971910863,0.00100693421217892,0.0271841016103347,"sd_epsilon_A = 0.8"
"4",0.00463990039619203,0.00630573004455185,0.00685899999999999,0.00917172206171791,0.000779803377832168,0.0242622210123422,"sd_epsilon_A = 0.8"
"5",0.00533405756263133,0.00722707621338531,0.00651604999999999,0.00910491915824067,0.000587482527433684,0.0216614995251094,"sd_epsilon_A = 0.8"
"6",0.00588730495571101,0.00795431285950576,0.00619024749999999,0.00899601223282349,0.000425058551262767,0.0193476869820594,"sd_epsilon_A = 0.8"
"7",0.00631821724761936,0.00851444508478979,0.00588073512499999,0.00885214194228152,0.000288303564051926,0.0172898499475729,"sd_epsilon_A = 0.8"
"8",0.00664331658052619,0.00893118597690164,0.00558669836874999,0.00867957985128169,0.000173578004663105,0.0154601266199872,"sd_epsilon_A = 0.8"
"9",0.00687725815054813,0.00922532373690725,0.00530736345031249,0.00848381460549634,7.77477899077837e-05,0.0138334819769951,"sd_epsilon_A = 0.8"
"10",0.0070330065470787,0.00941505242933371,0.00504199527779686,0.00826963230922734,-1.88657895326422e-06,0.0123874686106816,"sd_epsilon_A = 0.8"
"11",0.00712200142589133,0.00951626910540947,0.00478989551390702,0.00804119088685927,-6.76507340795938e-05,0.0111019970305962,"sd_epsilon_A = 0.8"
"12",0.00715431174019477,0.009542840034956,0.00455040073821166,0.00780208840803029,-0.000121548487564185,0.00995911793118491,"sd_epsilon_A = 0.8"
"13",0.00713877823428419,0.00950683870950609,0.00432288070130108,0.00755542550055057,-0.000165306481280212,0.00894281794412411,"sd_epsilon_A = 0.8"
"14",0.00708314425551136,0.00941875816665604,0.00410673666623603,0.00730386207555403,-0.000200412521324986,0.00803882966200513,"sd_epsilon_A = 0.8"
"15",0.0069941751906739,0.00928770004719318,0.00390139983292422,0.00704966865623489,-0.000228148515194169,0.00723445617560824,"sd_epsilon_A = 0.8"
"16",0.0068777670054394,0.00912154264263706,0.00370632984127801,0.00679477264279388,-0.000249618792098723,0.00651840997125781,"sd_epsilon_A = 0.8"
"17",0.00673904447821137,0.00892709002934277,0.00352101334921411,0.00654079986821359,-0.00026577447044778,0.0058806657543989,"sd_epsilon_A = 0.8"
"18",0.00658244978726563,0.00871020422203838,0.0033449626817534,0.00628911180715912,-0.000277434438056799,0.00531232657426941,"sd_epsilon_A = 0.8"
"19",0.00641182214335607,0.00847592211880469,0.00317771454766573,0.00604083879754138,-0.000285303427254583,0.00480550250147691,"sd_epsilon_A = 0.8"
"20",0.00623046916819157,0.00822855885401117,0.00301882882028244,0.00579690962410453,-0.000289987596372598,0.00435320103891263,"sd_epsilon_A = 0.8"
"21",0.0060412307091616,0.00797179902759472,0.00286788737926832,0.00555807779813778,-0.000292007969110653,0.00394922841373689,"sd_epsilon_A = 0.8"
"22",0.00584653575782325,0.00770877713957586,0.0027244930103049,0.00532494484885249,-0.000291812032311931,0.00358810089394703,"sd_epsilon_A = 0.8"
"23",0.00564845310811085,0.00744214842856126,0.00258826835978966,0.00509798092146403,-0.000289783749344559,0.00326496528933247,"sd_epsilon_A = 0.8"
"24",0.00544873635316484,0.0071741511924832,0.00245885494180018,0.00487754295558912,-0.000286252209398065,0.00297552782726006,"sd_epsilon_A = 0.8"
"25",0.00524886377949963,0.00690666155897223,0.00233591219471017,0.00466389069596405,-0.00028149910157048,0.0027159906339671,"sd_epsilon_A = 0.8"
"26",0.00505007367573216,0.00664124157132878,0.00221911658497466,0.00445720076624685,-0.000275765175812069,0.00248299509824795,"sd_epsilon_A = 0.8"
"27",0.00485339553158843,0.00637918136368119,0.00210816075572592,0.00425757901616821,-0.000269255829902435,0.00227357144386894,"sd_epsilon_A = 0.8"
"28",0.00465967756233642,0.00612153611512256,0.00200275271793963,0.00406507133279565,-0.000262145942077059,0.00208509388770391,"sd_epsilon_A = 0.8"
"29",0.00446961095481528,0.00586915839687301,0.00190261508204265,0.00387967308833514,-0.000254584052187459,0.00191524081096334,"sd_epsilon_A = 0.8"
"30",0.004283751194276,0.00562272645825677,0.00180748432794051,0.00370133737980116,-0.000246695979953794,0.00176195941993575,"sd_epsilon_A = 0.8"
"31",0.00410253679658201,0.0053827689359398,0.00171711011154349,0.00352998220007658,-0.000238587956592787,0.00162343441964057,"sd_epsilon_A = 0.8"
"32",0.00392630573807893,0.00514968641587736,0.00163125460596631,0.0033654966653534,-0.000230349335574925,0.00149806026823232,"sd_epsilon_A = 0.8"
"33",0.00375530984567309,0.0049237702282214,0.001549691875668,0.00320774641066284,-0.000222054939226598,0.00138441662161133,"sd_epsilon_A = 0.8"
"34",0.0035897273823363,0.00470521881150893,0.0014722072818846,0.00305657825311708,-0.000213767090127882,0.00128124661634684,"sd_epsilon_A = 0.8"
"35",0.00342967403830497,0.00449415194329864,0.00139859691779036,0.00291182421153247,-0.000205537369580105,0.00118743767467069,"sd_epsilon_A = 0.8"
